Species,Paraguay,Argentina,Chile,Uruguay,Brazil,Colombia,Northern South America,Lesser Antillas,Galapagos Islands,Caribbean,Central America,Mexico,Florida,Western USA,SE USA,NE USA,SW Canada,SE Canada,Iberian Peninsula,Mediterranean Basin,South Europe,Cape Verde,Northern Africa,Eastern Africa,Southern Africa,Madagascar,Middle East,Central Asia,Continental East Asia,Japan,Southeast Asia,Australia,New Zealand
Latrodectus antheratus,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus apicalis,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus bishopi,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Latrodectus cinctus,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,,
Latrodectus corallinus,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus curacaviensis,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus dahli,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,
Latrodectus diaguita,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus elegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
Latrodectus erythromelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Latrodectus garbae,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus hasselti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Latrodectus hesperus,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,
Latrodectus hurtadoi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus hystrix,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Latrodectus indistinctus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Latrodectus karrooensis,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Latrodectus katipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Latrodectus lilianae,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Latrodectus mactans,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,
Latrodectus menavodi,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Latrodectus mirabilis,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus obscurior,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Latrodectus occidentalis,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Latrodectus pallidus,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,
Latrodectus quartus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus renivulvatus,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Latrodectus revivensis,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Latrodectus rhodesiensis,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Latrodectus thoracicus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus tredecimguttatus,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,,,,,
Latrodectus umbukwane,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Latrodectus variegatus,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrodectus variolus,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,
